weapon	enemy	expectation	fired	hit	damaged	killed	timeToDamage	timeToKill	result
Colt45	Paratrooper	MustDamage	true	true	true	true	0.144	0.144	PASS
Thompson	Paratrooper	MustDamage	true	true	true	true	0.146	0.146	PASS
Tesla	Paratrooper	MustDamage	true	true	true	true	0.095	0.095	PASS
Flamethrower	Paratrooper	MustDamage	true	true	true	true	1.321	1.321	PASS
Bazooka	Paratrooper	MustDamage	true	true	true	true	2	2	PASS
Thompson	Helicopter	MustDamage	true	true	true	false	0.142	-1	PASS_DAMAGE_ONLY
Colt45	Helicopter	MustDamage	true	true	true	false	0.311	-1	PASS_DAMAGE_ONLY
Flamethrower	Helicopter	MustDamage	true	true	true	false	0.024	-1	PASS_DAMAGE_ONLY
Tesla	Helicopter	MustDamage	true	true	true	false	0.043	-1	PASS_DAMAGE_ONLY
Bazooka	Helicopter	MustDamage	true	true	true	true	0.731	0.731	PASS
Bazooka	Bomber	MustDamage	true	true	true	true	0.799	0.799	PASS
Colt45	Bomber	MustDamage	true	true	true	false	0.111	-1	PASS_DAMAGE_ONLY
Flamethrower	Bomber	MustDamage	true	true	true	false	0.033	-1	PASS_DAMAGE_ONLY
Tesla	Bomber	MustDamage	true	true	true	false	0.052	-1	PASS_DAMAGE_ONLY
Thompson	Bomber	MustDamage	true	true	true	false	0.139	-1	PASS_DAMAGE_ONLY
Bazooka	KamikazeDrone	MustDamage	true	true	true	true	0.858	0.858	PASS
Colt45	KamikazeDrone	MustDamage	true	true	true	false	0.105	-1	PASS_DAMAGE_ONLY
Flamethrower	KamikazeDrone	MustDamage	true	true	true	false	0.03	-1	PASS_DAMAGE_ONLY
Tesla	KamikazeDrone	MustDamage	true	true	true	false	0.052	-1	PASS_DAMAGE_ONLY
Thompson	KamikazeDrone	MustDamage	true	true	true	false	0.144	-1	PASS_DAMAGE_ONLY
Bazooka	BombDrone	MustDamage	true	true	true	true	0.862	0.862	PASS
Colt45	BombDrone	MustDamage	true	true	true	false	0.11	-1	PASS_DAMAGE_ONLY
Flamethrower	BombDrone	MustDamage	true	true	true	false	0.033	-1	PASS_DAMAGE_ONLY
Tesla	BombDrone	MustDamage	true	true	true	false	0.056	-1	PASS_DAMAGE_ONLY
Thompson	BombDrone	MustDamage	true	true	true	false	0.139	-1	PASS_DAMAGE_ONLY
Bazooka	MechBoss	MustDamage	false	false	false	false	-1	-1	FAIL_NO_PREFAB
Colt45	MechBoss	MustDamage	false	false	false	false	-1	-1	FAIL_NO_PREFAB
Flamethrower	MechBoss	MustDamage	false	false	false	false	-1	-1	FAIL_NO_PREFAB
Tesla	MechBoss	MustDamage	false	false	false	false	-1	-1	FAIL_NO_PREFAB
Thompson	MechBoss	MustDamage	false	false	false	false	-1	-1	FAIL_NO_PREFAB
