weapon	enemy	expectation	fired	hit	damaged	killed	timeToDamage	timeToKill	result
Colt45	Paratrooper	MustDamage	true	true	true	true	0.142	0.142	PASS
Thompson	Paratrooper	MustDamage	true	true	true	true	0.144	0.144	PASS
Tesla	Paratrooper	MustDamage	true	true	true	true	0.028	0.028	PASS
Flamethrower	Paratrooper	MustDamage	true	true	true	true	1.377	1.377	PASS
Bazooka	Paratrooper	MustDamage	true	true	true	true	2.034	2.034	PASS
Thompson	Helicopter	MustDamage	true	true	true	false	0.141	-1	PASS_DAMAGE_ONLY
Colt45	Helicopter	MustDamage	true	true	true	false	0.285	-1	PASS_DAMAGE_ONLY
Flamethrower	Helicopter	MustDamage	true	true	true	false	0.032	-1	PASS_DAMAGE_ONLY
Tesla	Helicopter	MustDamage	true	true	true	false	0.043	-1	PASS_DAMAGE_ONLY
Bazooka	Helicopter	MustDamage	true	true	true	true	0.728	0.728	PASS
Bazooka	Bomber	MustDamage	true	true	true	true	0.801	0.801	PASS
Colt45	Bomber	MustDamage	true	true	true	false	0.106	-1	PASS_DAMAGE_ONLY
Flamethrower	Bomber	MustDamage	true	true	true	false	0.033	-1	PASS_DAMAGE_ONLY
Tesla	Bomber	MustDamage	true	true	true	false	0.056	-1	PASS_DAMAGE_ONLY
Thompson	Bomber	MustDamage	true	true	true	false	0.14	-1	PASS_DAMAGE_ONLY
Bazooka	KamikazeDrone	MustDamage	true	true	true	true	0.868	0.868	PASS
Colt45	KamikazeDrone	MustDamage	true	true	true	false	0.106	-1	PASS_DAMAGE_ONLY
Flamethrower	KamikazeDrone	MustDamage	true	true	true	false	0.036	-1	PASS_DAMAGE_ONLY
Tesla	KamikazeDrone	MustDamage	true	true	true	false	0.053	-1	PASS_DAMAGE_ONLY
Thompson	KamikazeDrone	MustDamage	true	true	true	false	0.141	-1	PASS_DAMAGE_ONLY
Bazooka	BombDrone	MustDamage	true	true	true	true	0.862	0.862	PASS
Colt45	BombDrone	MustDamage	true	true	true	false	0.105	-1	PASS_DAMAGE_ONLY
Flamethrower	BombDrone	MustDamage	true	true	true	false	0.035	-1	PASS_DAMAGE_ONLY
Tesla	BombDrone	MustDamage	true	true	true	false	0.05	-1	PASS_DAMAGE_ONLY
Thompson	BombDrone	MustDamage	true	true	true	false	0.139	-1	PASS_DAMAGE_ONLY
