weapon	enemy	expectation	fired	hit	damaged	killed	timeToDamage	timeToKill	result
Colt45	Paratrooper	MustDamage	true	true	true	true	0.159	0.159	PASS
Thompson	Paratrooper	MustDamage	true	true	true	true	0.141	0.141	PASS
Tesla	Paratrooper	MustDamage	true	true	true	true	0.038	0.038	PASS
Flamethrower	Paratrooper	MustDamage	true	true	true	true	1.314	1.314	PASS
Bazooka	Paratrooper	MustDamage	true	true	true	true	1.983	1.983	PASS
Thompson	Helicopter	MustDamage	true	true	true	false	0.142	-1	PASS_DAMAGE_ONLY
Colt45	Helicopter	MustDamage	true	true	true	false	0.308	-1	PASS_DAMAGE_ONLY
Flamethrower	Helicopter	MustDamage	true	true	true	false	0.024	-1	PASS_DAMAGE_ONLY
Tesla	Helicopter	MustDamage	true	true	true	false	0.048	-1	PASS_DAMAGE_ONLY
Bazooka	Helicopter	MustDamage	true	true	true	true	0.73	0.73	PASS
Bazooka	Bomber	MustDamage	true	true	true	true	0.794	0.794	PASS
Colt45	Bomber	MustDamage	true	true	true	false	0.112	-1	PASS_DAMAGE_ONLY
Flamethrower	Bomber	MustDamage	true	true	true	false	0.027	-1	PASS_DAMAGE_ONLY
Tesla	Bomber	MustDamage	true	true	true	false	0.049	-1	PASS_DAMAGE_ONLY
Thompson	Bomber	MustDamage	true	true	true	false	0.142	-1	PASS_DAMAGE_ONLY
Bazooka	KamikazeDrone	MustDamage	true	true	true	true	0.864	0.864	PASS
Colt45	KamikazeDrone	MustDamage	true	true	true	false	0.103	-1	PASS_DAMAGE_ONLY
Flamethrower	KamikazeDrone	MustDamage	true	true	true	false	0.029	-1	PASS_DAMAGE_ONLY
Tesla	KamikazeDrone	MustDamage	true	true	true	false	0.057	-1	PASS_DAMAGE_ONLY
Thompson	KamikazeDrone	MustDamage	true	true	true	false	0.141	-1	PASS_DAMAGE_ONLY
Bazooka	BombDrone	MustDamage	false	false	false	false	-1	-1	FAIL_NO_PREFAB
