weapon	enemy	expectation	fired	hit	damaged	killed	timeToDamage	timeToKill	result
Colt45	Paratrooper	MustDamage	true	true	true	true	0.133	0.133	PASS
Thompson	Paratrooper	MustDamage	true	true	true	true	0.142	0.142	PASS
Tesla	Paratrooper	MustDamage	true	true	true	true	0.039	0.039	PASS
Flamethrower	Paratrooper	MustDamage	true	true	true	true	1.326	1.326	PASS
Bazooka	Paratrooper	MustDamage	true	true	true	true	1.985	1.985	PASS
Thompson	Helicopter	MustDamage	true	true	true	false	0.146	-1	PASS_DAMAGE_ONLY
Colt45	Helicopter	MustDamage	true	true	true	false	0.122	-1	PASS_DAMAGE_ONLY
Flamethrower	Helicopter	MustDamage	true	true	true	false	0.025	-1	PASS_DAMAGE_ONLY
Tesla	Helicopter	MustDamage	true	true	true	false	0.049	-1	PASS_DAMAGE_ONLY
Bazooka	Helicopter	MustDamage	true	true	true	true	0.72	0.72	PASS
Bazooka	Bomber	MustDamage	true	true	true	true	0.782	0.782	PASS
Colt45	Bomber	MustDamage	true	true	true	false	0.106	-1	PASS_DAMAGE_ONLY
Flamethrower	Bomber	MustDamage	true	true	true	false	0.026	-1	PASS_DAMAGE_ONLY
Tesla	Bomber	MustDamage	true	true	true	false	0.045	-1	PASS_DAMAGE_ONLY
Thompson	Bomber	MustDamage	true	true	true	false	0.145	-1	PASS_DAMAGE_ONLY
Bazooka	KamikazeDrone	MustDamage	true	true	true	true	0.855	0.855	PASS
Colt45	KamikazeDrone	MustDamage	true	true	true	false	0.113	-1	PASS_DAMAGE_ONLY
Flamethrower	KamikazeDrone	MustDamage	true	true	true	false	0.032	-1	PASS_DAMAGE_ONLY
Tesla	KamikazeDrone	MustDamage	true	true	true	false	0.054	-1	PASS_DAMAGE_ONLY
Thompson	KamikazeDrone	MustDamage	true	true	true	false	0.141	-1	PASS_DAMAGE_ONLY
Bazooka	BombDrone	MustDamage	true	true	true	true	0.855	0.855	PASS
Colt45	BombDrone	MustDamage	true	true	true	false	0.106	-1	PASS_DAMAGE_ONLY
Flamethrower	BombDrone	MustDamage	true	true	true	false	0.035	-1	PASS_DAMAGE_ONLY
Tesla	BombDrone	MustDamage	true	true	true	false	0.05	-1	PASS_DAMAGE_ONLY
Thompson	BombDrone	MustDamage	true	true	true	false	0.139	-1	PASS_DAMAGE_ONLY
